Team_Season,Team,QB,RB,WR,TE,OL,Offense,IDL,EDGE,LB,S,CB,Defense,Season,W_PCT,Playoffs,SB,Cap,QB_P,RB_P,WR_P,TE_P,OL_P,IDL_P,EDGE_P,LB_P,S_P,CB_P,Defense_P,Offense_P,Dead_Open_Specials,W
Cardinals 2022,Cardinals,16348925,6213758,24621833,7121287,44681251,98987054,23503243,9842220,15369345,19606956,7124107,75445871,2022,0.235,0,0,208200000,0.07852509606,0.02984513929,0.1182604851,0.0342040682,0.2146073535,0.1128878146,0.04727291066,0.07382010086,0.09417365994,0.03421761287,0.3623720989,0.4754421422,0.1621857589,4
Falcons 2022,Falcons,6303695,4894510,9535858,10678128,32848444,64260635,18104464,6077102,4917321,4468126,14033033,47600046,2022,0.412,0,0,208200000,0.03027711335,0.02350869356,0.04580143132,0.05128783862,0.1577735062,0.08695707973,0.02918877041,0.02361825648,0.02146073967,0.06740169549,0.2286265418,0.3086485831,0.4627248751,7
Ravens 2022,Ravens,24100655,8179654,7616822,12307075,38678276,90882482,11195023,14877531,7852081,12066802,32103215,78094652,2022,0.588,1,0,208200000,0.1157572286,0.03928748319,0.03658415946,0.05911179155,0.1857746206,0.05377052354,0.07145788184,0.03771412584,0.05795774256,0.1541941162,0.37509439,0.4365152834,0.1883903266,10
Bills 2022,Bills,20230481,7299886,18982654,4501683,29350967,80365671,16458562,12078022,24091768,18151730,26310989,97091071,2022,0.813,1,0,208200000,0.09716849664,0.03506189241,0.09117509126,0.02162191643,0.1409748655,0.07905169068,0.05801163305,0.1157145437,0.08718410183,0.1263736263,0.4663355956,0.3860022622,0.1476621422,13
Panthers 2022,Panthers,20461726,3829960,12882679,5253310,33291588,75719263,11405978,9462303,23312667,6802770,16752502,67736220,2022,0.412,0,0,208200000,0.09827918348,0.01839558117,0.06187646013,0.0252320365,0.1599019597,0.054783756,0.04544814121,0.111972464,0.03267420749,0.08046350624,0.3253420749,0.3636852209,0.3109727041,7
Bears 2022,Bears,6917413,4900984,11115639,5756091,27473483,56163610,11799311,5649095,6862834,20336001,5518865,50166106,2022,0.176,0,0,208200000,0.0332248463,0.02353978866,0.05338923631,0.02764693084,0.131957171,0.0566729635,0.02713302113,0.03296269933,0.097675317,0.02650751681,0.2409515178,0.2697579731,0.4892905091,3
Bengals 2022,Bengals,11332371,15533810,22298088,7324969,30652020,87141258,25457899,24666921,7997820,26928297,20293823,105344760,2022,0.75,1,0,208200000,0.05443021614,0.07461003842,0.107099366,0.03518236792,0.1472239193,0.122276172,0.1184770461,0.03841412104,0.1293386023,0.09747273295,0.5059786744,0.4185459078,0.07547541787,12
Browns 2022,Browns,14942928,14503104,11614046,6171535,37805257,85036870,9433318,19071235,9826334,11808926,12414924,62554737,2022,0.412,0,0,208200000,0.07177198847,0.06965948127,0.055783122,0.0296423391,0.1815814457,0.04530892411,0.09160055235,0.04719660903,0.05671914505,0.05962979827,0.3004550288,0.4084383766,0.2911065946,7
Cowboys 2022,Cowboys,21325834,20945082,13438525,13499164,41380342,110588947,8309513,19438110,11775184,9347479,18798262,67668548,2022,0.706,1,0,208200000,0.1024295581,0.1006007781,0.06454622959,0.06483748319,0.1987528434,0.03991120557,0.09336268012,0.05655707973,0.04489663305,0.09028944284,0.3250170413,0.5311668924,0.1438160663,12
Broncos 2022,Broncos,18082500,6405499,19436070,5262023,43074703,92260795,13772100,10635344,6989055,23249297,22834821,77480617,2022,0.294,0,0,208200000,0.08685158501,0.03076608549,0.09335288184,0.02527388569,0.2068909846,0.06614841499,0.0510823439,0.03356894813,0.1116680932,0.1096773343,0.3721451345,0.4431354227,0.1847194428,5
Lions 2022,Lions,32219500,9162629,14045393,2328750,41941085,99697357,12747744,28277728,8275184,8925370,18071989,76298015,2022,0.529,0,0,208200000,0.1547526417,0.04400878482,0.06746106148,0.0111851585,0.2014461335,0.06122835735,0.1358200192,0.03974632085,0.0428692123,0.0868010999,0.3664650096,0.47885378,0.1546812104,9
Texans 2022,Texans,3856318,5480218,16068691,3710583,37408894,66524704,7425859,15929240,12683243,9515023,16819387,62372752,2022,0.206,0,0,208200000,0.0185221806,0.02632189241,0.07717911143,0.01782220461,0.1796776849,0.03566695005,0.07650931796,0.06091855427,0.04570135927,0.08078475985,0.2995809414,0.319523074,0.3808959846,3
Colts 2022,Colts,22163558,3818974,9081436,9255943,42356344,86676255,29095351,22019573,20698461,5299201,21899515,99012101,2022,0.265,0,0,208200000,0.1064532085,0.0183428146,0.04361880884,0.04445697887,0.2034406532,0.139747123,0.1057616378,0.09941623919,0.02545245437,0.1051849904,0.4755624448,0.416312464,0.1081250913,4
Jaguars 2022,Jaguars,11319156,5232412,29108793,16652093,28354461,90666915,18616330,29701227,11848942,14816692,28605261,103588452,2022,0.529,1,0,208200000,0.05436674352,0.02513166186,0.1398116859,0.07998123439,0.1361885735,0.08941560999,0.1426571902,0.05691134486,0.07116566763,0.1373931844,0.4975429971,0.4354798991,0.06697710375,9
Chiefs 2022,Chiefs,38825381,6354516,17174008,11542063,32124103,106020071,35145929,21080281,5261411,10692255,5600619,77780495,2022,0.824,1,1,208200000,0.1864811768,0.03052121037,0.08248803074,0.05543738232,0.1542944428,0.1688084966,0.1012501489,0.02527094621,0.05135569164,0.02690018732,0.3735854707,0.509222243,0.1171922863,14
Raiders 2022,Raiders,20418333,9227435,19243265,15179098,17819365,81887496,8277623,27221208,7958161,4938654,10529295,58924941,2022,0.353,0,0,208200000,0.09807076369,0.04432005283,0.09242682517,0.07290633045,0.08558772815,0.03975803554,0.1307454755,0.03822363593,0.02372072046,0.05057298271,0.2830208501,0.3933117003,0.3236674496,6
Chargers 2022,Chargers,10283406,9875576,37838148,6820248,31772859,96590237,13777389,41335618,9663825,13289700,21839498,99906030,2022,0.588,1,0,208200000,0.04939195965,0.047433122,0.1817394236,0.03275815562,0.1526073919,0.06617381844,0.1985380307,0.04641606628,0.0638314121,0.1048967243,0.4798560519,0.4639300528,0.05621389529,10
Rams 2022,Rams,16649944,2816993,28497273,5474116,20272409,73710735,42719120,9516649,5686025,6950860,30915195,95787849,2022,0.294,0,0,208200000,0.07997091258,0.01353022574,0.1368745101,0.02629258405,0.09736987992,0.2051830932,0.04570916907,0.02731039866,0.03338549472,0.1484879683,0.4600761239,0.3540381124,0.1858857637,5
