Team,Season,members,foreign_players,mean_age,salaries,salaries (millions),spending,spending (millions),MOY,rank,points,DIF,Gain (Wins),Null,defeat,BP,BC
Manchester City,2022-2023,73,38,21.9,"14,06M",14.06,"103,50M",103.5,6.6,1,89,61,28,5,5,94,33
Arsenal,2022-2023,76,39,21.8,"10,75M",10.75,"224,56M",224.56,6.4,2,84,45,26,6,6,88,43
Manchester United,2022-2023,73,38,23.2,"20,14M",20.14,"238,02M",238.02,6.1,3,75,15,23,6,9,58,43
Newcastle,2022-2023,40,17,25.5,"5,92M",5.92,"136,85M",136.85,6,4,71,35,19,14,5,68,33
Liverpool,2022-2023,67,36,22.3,"12,57M",12.57,"129,89M",129.89,6.1,5,67,28,19,10,9,75,47
Brighton,2022-2023,59,34,22,"2,13M",2.13,"40,24M",40.24,6,6,62,19,18,8,12,72,53
Aston Villa,2022-2023,64,30,23,"6,37M",6.37,"96,14M",96.14,5.8,7,61,5,18,7,13,51,46
Tottenham,2022-2023,64,30,22.3,"8,96M",8.96,"169,90M",169.9,5.9,8,60,7,18,6,14,70,63
Brentford,2022-2023,45,27,22.8,"1,34M",1.34,"56,00M",56,5.8,9,59,12,15,14,9,58,46
Fulham,2022-2023,54,28,24,"3,65M",3.65,"71,30M",71.3,5.7,10,52,2,15,7,16,55,53
Crystal Palace,2022-2023,63,24,22.3,"4,26M",4.26,"24,00M",24,5.7,11,45,-9,11,12,15,40,49
Chelsea,2022-2023,81,44,22.6,"19,69M",19.69,"617,29M",617.29,5.8,12,44,-9,11,11,16,38,47
Wolverhampton,2022-2023,61,43,23.6,"4,90M",4.9,"186,16M",186.16,5.6,13,41,-27,11,8,19,31,58
West Ham,2022-2023,52,24,23.2,"5,58M",5.58,"170,90M",170.9,5.7,14,40,-13,11,7,20,42,55
Bournemouth,2022-2023,50,16,22.8,"2,33M",2.33,"83,10M",83.1,5.4,15,39,-34,11,6,21,37,71
Nottingham Forest,2022-2023,55,31,24.8,"3,59M",3.59,"174,10M",174.1,5.5,16,38,-30,9,11,18,38,68
Everton,2022-2023,59,28,24.1,"8,86M",8.86,"45,00M",45,5.7,17,36,-23,8,12,18,34,57
Leicester,2022-2023,58,33,23.4,"6,77M",6.77,"48,00M",48,5.7,18,34,-17,9,7,22,51,68
Leeds,2022-2023,52,31,22.4,"2,63M",2.63,"143,04M",143.04,5.5,19,31,-30,7,10,21,48,78
Southampton,2022-2023,51,24,22.5,"4,94M",4.94,"117,10M",117.1,5.4,20,25,-37,6,7,25,36,73
